id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17143,-86.7357,Private room,43,30,669,2020-03-03,3.46,1,134,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 25,36.12466,-86.81269,Private room,70,1,540,2025-03-09,5.22,1,235,88,
59576,Large Main Suite near Lake *ladies only NS plz,812128,Patricia And John,,District 12,36.1894,-86.59162,Private room,53,30,3,2024-06-19,0.09,6,180,1,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,81,2,755,2025-03-02,4.50,1,25,36,
258817,"ButterflyRoom-queen room, private bath",22296,Diana,,District 12,36.16076,-86.59151,Private room,34,30,97,2023-12-27,0.60,8,365,0,
289242,"MorningstarHouse, monthly room-",22296,Diana,,District 12,36.16296,-86.59113,Private room,33,30,76,2019-01-12,0.47,8,365,0,
319705,"SuperSweetSTUDIO, jacuzzi, private entrance",22296,Diana,,District 12,36.16236,-86.59005,Private room,45,30,49,2024-02-02,0.31,8,365,0,
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,98,2,1468,2025-03-02,9.23,7,117,106,
340081,Affordable room in 4 bedroom house.,22296,Diana,,District 12,36.16122,-86.59007,Private room,33,30,82,2024-07-03,0.52,8,365,1,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16499,-86.75054,Private room,86,1,358,2025-03-02,2.30,1,329,31,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,87,2,1102,2025-02-20,7.09,7,12,75,
430052,"Private Vaulted Studio! King,WetBar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,87,2,1103,2025-02-28,7.10,7,22,73,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,241,2,543,2025-03-03,3.48,7,289,21,
501570,French Flair :The Loire room,2427763,Dody &Rodney,,District 6,36.18982,-86.74399,Private room,115,1,266,2025-01-26,1.71,2,82,1,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15606,-86.64991,Private room,,2,27,2015-06-29,0.18,1,0,0,
